,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev,Lat,Long
0,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:20:00,971.471069,19L,Craugastoridae,Pristimantis,danae,0.0,en el suelo,activo,1.13,25.4,,,Bd136,,Cerca al punto GPS,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
1,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:04:00,980.779723999999,19L,Bufonidae,Rhinella,tacana,0.6,en hoja,activo,0.84,20.55,,,Bd135,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
2,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:16:00,980.786437999999,19L,Craugastoridae,Pristimantis,aff pharangobates,0.3,en hoja,activo,0.73,20.05,,,Bd139,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
3,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:16:00,980.786437999999,19L,Craugastoridae,Pristimantis,gagliardi,0.3,en hoja,activo,0.18,13.21,,,Bd137,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
4,EC,1,2014-06-25,7,52,150,3.0,00:01:00,00:41:00,00:31:00,979.307312,19L,Craugastoridae,Pristimantis,gagliardi,1.0,en musgo de arbol,activo,0.15,11.5,,,Bd138,,,2014,6,25,4.0,5.5,0.0,980.0,11.529411764705882,85.0,3.0,20.0,101.0,0.05,986.75,282122,8562722
5,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:14:00,995.0,19L,Bufonidae,Rhinella,tacana,0.3,hoja,alerta,0.92,21.7,,,5Bd062,,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
6,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:25:00,997.0,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.0,suelo,alerta,0.69,23.8,24.6,,5Bd063,,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
7,AB,5,2016-07-12,4,66,50,5.0,00:03:00,00:27:00,00:21:00,995.0,19L,Craugastoridae,Noblella,sp,0.0,suelo,alerta,0.15,11.9,,4668-4673,5Bd064,22271,,2016,7,12,2.0,0.0,100.0,0.0,0.0,99.0,0.0,20.75,,0.52,1008.5,282248,8562718
8,EC,1,2014-06-29,11,64,50,3.0,00:05:00,00:45:00,00:12:00,934.129578,19L,Craugastoridae,Pristimantis,aff pharangobates,0.5,en hoja,atento,0.61,19.5,,,Bd194,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,996.5,282189,8562639
9,EC,1,2014-06-29,11,64,50,3.0,00:05:00,00:45:00,00:28:00,966.778992,19L,Bufonidae,Rhinella,tacana,0.8,en hoja,atento,0.6,20.0,,,Bd193,,,2014,6,29,4.0,11.0,0.0,1020.0,11.590909090909092,88.0,0.0,15.0,103.0,0.08,996.5,282189,8562639
