,Date,Phase-1,S_peeps,S_hour,OPE,Rain,S_fuel,flights,Craugastoridae,Bufonidae,Plethodontidae,Hylidae,Leptodactylidae,Phyllomedusidae,Centrolenidae,Rhinathrematidae,Observations,label
16,2014-06-18,EC,32,820,4,0.0,0,10,9.0,1.0,,1.0,,,,,11.0,S
17,2014-06-19,EC,42,930,4,0.0,0,6,8.0,,,,2.0,,,,10.0,S
18,2014-06-20,EC,79,920,4,0.0,0,6,8.0,2.0,,,1.0,,,,11.0,S
19,2014-06-21,EC,81,920,4,0.0,0,3,7.0,3.0,,,,,,,10.0,S
20,2014-06-22,EC,81,900,4,0.0,0,9,14.0,4.0,2.0,,1.0,,,,21.0,L
22,2014-06-24,EC,81,930,4,0.0,0,10,10.0,8.0,1.0,,,,,,19.0,L
23,2014-06-25,EC,85,980,4,5.5,0,3,14.0,11.0,,,,,,,25.0,L
24,2014-06-26,EC,88,1020,4,0.0,0,5,11.0,1.0,,,,,1.0,,13.0,S
25,2014-06-27,EC,88,1020,5,3.0,0,0,5.0,2.0,,,,,,,7.0,S
26,2014-06-28,EC,88,1000,5,10.0,0,0,10.0,1.0,1.0,1.0,4.0,,,,17.0,L
27,2014-06-29,EC,88,1020,4,11.0,0,0,14.0,6.0,,4.0,1.0,,,,25.0,L
28,2014-06-30,EC,89,1030,4,0.0,0,12,19.0,2.0,,4.0,4.0,,,,29.0,L
44,2014-09-26,LC,195,2170,15,5.0,383,8,5.0,1.0,,1.0,2.0,1.0,,,10.0,S
45,2014-09-27,LC,193,2350,15,4.5,303,1,4.0,6.0,,2.0,,,2.0,,14.0,L
46,2014-09-28,LC,193,2350,15,3.5,220,12,10.0,6.0,,,,,2.0,,18.0,L
47,2014-09-29,LC,198,2350,15,0.0,462,15,7.0,1.0,,1.0,,1.0,,,10.0,S
48,2014-09-30,LC,199,2150,15,0.7,737,23,12.0,5.0,1.0,,2.0,,,,20.0,L
49,2014-10-01,LC,214,2390,15,0.0,503,23,1.0,2.0,,1.0,,,,,4.0,S
51,2014-10-03,LC,203,2280,14,0.0,549,9,8.0,1.0,,,,,,,9.0,S
52,2014-10-04,LC,193,2280,15,2.0,641,0,10.0,1.0,,,,,,,11.0,S
53,2014-10-05,LC,193,2280,15,0.0,442,12,8.0,3.0,,,2.0,,,,13.0,S
54,2014-10-06,LC,193,2320,15,6.3,425,7,10.0,5.0,,,4.0,,,,19.0,L
55,2014-10-07,LC,193,2320,15,0.0,452,9,5.0,,,,,,,,5.0,S
56,2014-10-08,LC,191,2280,14,0.0,514,15,,1.0,,2.0,,,,,3.0,S
74,2015-01-31,DR,70,950,8,0.0,192,39,3.0,2.0,,,1.0,,,,6.0,S
75,2015-02-01,DR,70,950,8,3.0,150,15,5.0,1.0,,,3.0,,,,9.0,S
76,2015-02-02,DR,67,910,8,0.0,155,37,9.0,5.0,,,,2.0,,,16.0,L
77,2015-02-03,DR,67,910,8,0.5,280,15,15.0,10.0,,,,,1.0,1.0,27.0,L
78,2015-02-04,DR,70,920,7,1.0,165,11,20.0,7.0,1.0,1.0,1.0,,,,30.0,L
79,2015-02-05,DR,70,920,7,3.1,170,1,21.0,5.0,,,,,,,26.0,L
80,2015-02-06,DR,63,870,7,0.0,140,2,17.0,6.0,,,,,,,23.0,L
81,2015-02-07,DR,62,860,7,7.0,150,0,,1.0,,,1.0,,,1.0,3.0,S
82,2015-02-08,DR,64,880,6,0.0,195,25,15.0,7.0,,,4.0,,,,26.0,L
83,2015-02-09,DR,56,750,6,0.0,205,14,12.0,1.0,,,,1.0,,,14.0,L
84,2015-02-10,DR,56,750,6,3.3,130,0,2.0,,,,1.0,,,,3.0,S
103,2015-07-14,RI,111,1221,6,0.0,491,4,18.0,2.0,,,,,,,20.0,L
104,2015-07-15,RI,114,1254,6,0.0,303,11,8.0,4.0,,,,,,,12.0,S
105,2015-07-16,RI,114,1254,6,0.0,623,0,13.0,1.0,,2.0,1.0,1.0,1.0,,19.0,L
106,2015-07-17,RI,114,1254,6,0.0,258,0,7.0,1.0,,2.0,,,1.0,,11.0,S
107,2015-07-18,RI,113,1243,6,0.0,196,4,8.0,6.0,,2.0,,,,,16.0,L
108,2015-07-19,RI,106,1166,6,0.0,0,2,3.0,1.0,,4.0,,,,,8.0,S
109,2015-07-20,RI,108,1188,6,0.0,110,5,9.0,,,1.0,1.0,,2.0,,13.0,S
110,2015-07-21,RI,108,1188,6,0.0,700,1,8.0,7.0,,4.0,,,,,19.0,L
111,2015-07-22,RI,108,1188,6,0.0,840,0,9.0,4.0,,,,,,,13.0,S
112,2015-07-23,RI,105,1155,6,0.0,85,9,5.0,8.0,,5.0,,,,,18.0,L
