phase,phase_code,date,day,plot,distance,evaluators,start_time,end_time,encounter_time,height,zone,family,genus,species,location_m,location_type,behavior,mass,body_len,tail_len,photo_code,hyssop_code,capture_code,additional_obs,year,month,day2,OPE,rain,fuel,total_hrs,hr_pp,ppls,flights,temp,hum,luna,elev,eastings,northings,long,lat
EC,1,6/18/2014,1,44,250,3,18:35:00,19:12:00,18:58:00,953.930298,19L,Craugastoridae,Pristimantis,danae,0,en el suelo,saltando,1.78,25.32,,,Bd005,,,2014,6,18,4,0,0,820,24,32,10,19,97.5,0.68,963.25,282179,8563016,-71.00820674,-12.99086602
EC,1,6/18/2014,1,44,250,3,18:35:00,19:12:00,18:54:00,959.228394,19L,Craugastoridae,Pristimantis,danae,0.1,en un peque??o tallo ,sentado,0.94,22.82,,,Bd004,,,2014,6,18,4,0,0,820,24,32,10,19,97.5,0.68,963.25,282179,8563016,-71.00820674,-12.99086602
EC,1,6/18/2014,1,44,250,3,18:35:00,19:12:00,19:09:00,957.381287,19L,Craugastoridae,Pristimantis,ockendeni,1.4,en una helecho arboreo,activo,0.82,20.4,,,Bd006,,,2014,6,18,4,0,0,820,24,32,10,19,97.5,0.68,963.25,282179,8563016,-71.00820674,-12.99086602
EC,1,6/18/2014,1,43,250,3,20:14:00,20:50:00,8:35:00,959.724915,19L,Hylidae,Dendropsophus,aff parviceps,1,en una hoja grande,saltando,0.87,22.7,,,Bd008,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,960.75,282155,8562946,-71.008433,-12.99149691
EC,1,6/18/2014,1,43,250,3,20:14:00,20:50:00,8:18:00,967.730042,19L,Craugastoridae,Pristimantis,danae,0.5,en una hoja grande,activo,0.72,20.4,,,Bd007,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,960.75,282155,8562946,-71.008433,-12.99149691
EC,1,6/18/2014,1,56,150,3,21:32:00,22:13:00,21:39:00,977.412048,19L,Craugastoridae,Pristimantis,danae,0,en el suelo,saltando,2.83,32.07,,,Bd010,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,976,282275,8562940,-71.00732757,-12.99155968
EC,1,6/18/2014,1,56,150,3,21:32:00,22:13:00,21:40:00,973.876587,19L,Craugastoridae,Pristimantis,danae,0,en vegetacion cortada,saltando,2.34,30.09,,,Bd011,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,976,282275,8562940,-71.00732757,-12.99155968
EC,1,6/18/2014,1,56,150,3,21:32:00,22:13:00,22:06:00,981.05481,19L,Craugastoridae,Pristimantis,danae,0.35,en una rama caida,activo,1.39,26.2,,,Bd013,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,976,282275,8562940,-71.00732757,-12.99155968
EC,1,6/18/2014,1,56,150,3,21:32:00,22:13:00,21:38:00,977.412048,19L,Craugastoridae,Pristimantis,aff pharangobates,0.2,en una hoja,activo,0.87,20.7,,,Bd009,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,976,282275,8562940,-71.00732757,-12.99155968
EC,1,6/18/2014,1,56,150,3,21:32:00,22:13:00,21:50:00,969.280701,19L,Craugastoridae,Pristimantis,aff pharangobates,0,,,0.78,21.3,,,Bd012,,,2014,6,18,4,0,0,820,24,32,10,18,99,0.68,976,282275,8562940,-71.00732757,-12.99155968
EC,1,6/18/2014,1,55,150,3,22:53:00,23:40:00,23:03:00,978.133362,19L,Bufonidae,Rhinella,tacana,1.2,en un arbol,activo,1.13,25.5,,,Bd014,,,2014,6,18,4,0,0,820,24,32,10,18,98.5,0.68,965.75,282204,8562882,-71.00798608,-12.99207878
EC,1,6/19/2014,2,32,500,3,18:35:00,19:15:00,18:48:00,916.569336,19L,Craugastoridae,Pristimantis,aff pharangobates,0.4,en una hoja,activo,0.52,17.92,,,Bd017,,,2014,6,19,4,0,0,930,22.14285714,42,6,18,98.5,0.57,878.25,281568,8563440,-71.01380654,-12.9869907
