,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
0,EC,1,25/06/2014,7,52,150,3,00:01:00,00:41:00,00:20:00,-71.00852603,-12.99327602,971.471069,19 L,Craugastoridae,Pristimantis,danae,0,En el suelo,Activo,1.13,25.4,,,Bd136,No colectado,Cerca al punto GPS
1,EC,1,25/06/2014,7,52,150,3,00:01:00,00:41:00,00:04:00,-71.00877296,-12.99344801,980.779724,19 L,Bufonidae,Rhinella,tacana,0.6,En hoja,Activo,0.84,20.55,,,Bd135,No colectado,
2,EC,1,25/06/2014,7,52,150,3,00:01:00,00:41:00,00:16:00,-71.00875796,-12.99336403,980.786438,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.3,En hoja,Activo,0.73,20.05,,,Bd139,No colectado,
3,EC,1,25/06/2014,7,52,150,3,00:01:00,00:41:00,00:16:00,-71.00875796,-12.99336403,980.786438,19 L,Craugastoridae,Pristimantis,gagliardi,0.3,En hoja,Activo,0.18,13.21,,,Bd137,No colectado,
4,EC,1,25/06/2014,7,52,150,3,00:01:00,00:41:00,00:31:00,-71.00871203,-12.993259,979.307312,19 L,Craugastoridae,Pristimantis,gagliardi,1,En musgo de arbol,Activo,0.15,11.5,,,Bd138,No colectado,
5,AB,5,12/7/16 00:00,4,66,50,5,00:03:00,00:27:00,00:14:00,282262,8562759,995,19L,Bufonidae,Rhinella,tacana,0.3,Hoja,Alerta,0.92,21.7,,,5Bd062,,
6,AB,5,12/7/16 00:00,4,66,50,5,00:03:00,00:27:00,00:25:00,282255,8562750,997,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0,Suelo,Alerta,0.69,23.8,"24,6",,5Bd063,,
7,AB,5,12/7/16 00:00,4,66,50,5,00:03:00,00:27:00,00:21:00,282269,8562754,995,19L,Craugastoridae,Noblella,sp,0,Suelo,Alerta,0.15,11.9,,4668-4673,5Bd064,22271,
8,EC,1,29/06/2014,11,64,50,3,00:05:00,00:45:00,00:12:00,-71.00809101,-12.99419199,934.129578,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.5,En hoja,Atento,0.61,19.5,,,Bd194,No colectado,
9,EC,1,29/06/2014,11,64,50,3,00:05:00,00:45:00,00:28:00,-71.00805497,-12.99422703,966.778992,19 L,Bufonidae,Rhinella,tacana,0.8,En hoja,Atento,0.6,20,,,Bd193,No colectado,
