,Date,Phase-1,S_peeps,S_hour,OPE,Rain,S_fuel,flights,Craugastoridae,Bufonidae,Plethodontidae,Hylidae,Leptodactylidae,Phyllomedusidae,Centrolenidae,Rhinathrematidae,Observations,label
0,2014-06-02,EC,14,0,0,4.0,0,0,,,,,,,,,,S
1,2014-06-03,EC,14,0,0,0.0,0,0,,,,,,,,,,S
2,2014-06-04,EC,20,0,0,0.0,0,0,,,,,,,,,,S
3,2014-06-05,EC,25,0,0,0.0,0,6,,,,,,,,,,S
4,2014-06-06,EC,25,0,0,0.0,0,2,,,,,,,,,,S
5,2014-06-07,EC,27,550,0,0.0,0,7,,,,,,,,,,S
6,2014-06-08,EC,26,440,1,0.0,0,1,,,,,,,,,,S
7,2014-06-09,EC,28,460,1,0.0,0,9,,,,,,,,,,S
8,2014-06-10,EC,29,580,1,10.0,0,3,,,,,,,,,,S
9,2014-06-11,EC,30,590,2,0.0,0,2,,,,,,,,,,S
10,2014-06-12,EC,30,590,2,0.0,0,2,,,,,,,,,,S
11,2014-06-13,EC,29,590,2,5.0,520,5,,,,,,,,,,S
12,2014-06-14,EC,29,630,2,1.5,0,11,,,,,,,,,,S
13,2014-06-15,EC,29,680,3,6.0,0,2,,,,,,,,,,S
14,2014-06-16,EC,31,810,3,1.5,0,4,,,,,,,,,,S
15,2014-06-17,EC,31,810,3,0.0,0,0,,,,,,,,,,S
21,2014-06-23,EC,81,900,4,0.0,0,6,,,,,,,,,,S
29,2014-07-01,EC,90,1050,5,0.0,120,0,,,,,,,,,,S
30,2014-09-12,LC,125,1640,14,6.0,495,9,,,,,,,,,,S
31,2014-09-13,LC,155,2000,14,0.0,527,20,,,,,,,,,,S
32,2014-09-14,LC,155,2000,14,10.0,558,0,,,,,,,,,,S
33,2014-09-15,LC,159,2050,14,0.0,454,7,,,,,,,,,,S
34,2014-09-16,LC,159,2040,14,0.0,389,0,,,,,,,,,,S
35,2014-09-17,LC,160,1790,15,0.0,371,27,,,,,,,,,,S
36,2014-09-18,LC,161,2000,15,0.0,565,21,,,,,,,,,,S
37,2014-09-19,LC,169,2080,14,4.5,461,9,,,,,,,,,,S
38,2014-09-20,LC,169,2080,14,1.5,387,9,,,,,,,,,,S
39,2014-09-21,LC,169,2080,15,10.0,125,0,,,,,,,,,,S
40,2014-09-22,LC,178,2220,14,0.0,384,17,,,,,,,,,,S
41,2014-09-23,LC,178,2220,15,0.0,889,0,,,,,,,,,,S
42,2014-09-24,LC,178,2220,14,0.0,616,0,,,,,,,,,,S
43,2014-09-25,LC,193,2270,15,0.0,519,5,,,,,,,,,,S
50,2014-10-02,LC,204,2390,15,5.0,303,3,,,,,,,,,,S
57,2014-10-09,LC,191,2280,14,0.0,500,7,,,,,,,,,,S
58,2015-01-15,DR,103,1410,9,6.0,110,4,,,,,,,,,,S
59,2015-01-16,DR,101,1430,9,4.0,100,3,,,,,,,,,,S
